name,year,team,games_played,ftm,fta,tpa
Grayson Allen,2014,Brooklyn Nets (BKN),38,18,27,130
Grayson Allen,2011,Oklahoma City Thunder (OKC),65,66,85,76
Grayson Allen,2014,Atlanta Hawks (ATL),66,139,193,347
Grayson Allen,2014,Los Angeles Clippers (LAC),21,118,137,139
Grayson Allen,2013,Memphis Grizzlies (MEM),80,74,132,0
Grayson Allen,2014,Minnesota Timberwolves (MIN),51,12,16,85
Grayson Allen,2014,Philadelphia 76ers (PHI),76,109,145,390
Grayson Allen,2014,Detroit Pistons (DET),5,5,6,6
Grayson Allen,2013,Portland Trail Blazers (POR),60,187,254,14
Grayson Allen,2014,Phoenix Suns (PHX),32,32,47,48
Grayson Allen,2013,Atlanta Hawks (ATL),53,155,266,5
Grayson Allen,2011,Phoenix Suns (PHX),61,40,48,216
Grayson Allen,2014,Houston Rockets (HOU),8,0,0,3
Grayson Allen,2011,Phoenix Suns (PHX),61,40,48,216
Grayson Allen,2014,Houston Rockets (HOU),8,0,0,3
