name,year,team,games_played,ftm,fta,tpa
Steven Adams,2019,Atlanta Hawks (ATL),43,26,48,65
Steven Adams,2018,Atlanta Hawks (ATL),82,87,136,173
Steven Adams,2017,Atlanta Hawks (ATL),26,19,33,30
Steven Adams,2016,Atlanta Hawks (ATL),38,6,16,18
Steven Adams,2019,Oklahoma City Thunder (OKC),53,32,47,100
Steven Adams,2019,Washington Wizards (WAS),57,385,457,481
Steven Adams,2018,Washington Wizards (WAS),82,362,448,596
Steven Adams,2017,Washington Wizards (WAS),82,292,369,530
Steven Adams,2016,Washington Wizards (WAS),77,282,342,552
Steven Adams,2015,Washington Wizards (WAS),55,135,176,271
Steven Adams,2014,Washington Wizards (WAS),63,130,166,259
Steven Adams,2013,Washington Wizards (WAS),73,149,189,343
Steven Adams,2012,Washington Wizards (WAS),56,125,159,236
Steven Adams,2019,Washington Wizards (WAS),54,104,122,472
Steven Adams,2018,Washington Wizards (WAS),76,53,60,338
Steven Adams,2017,Washington Wizards (WAS),77,40,49,252
Steven Adams,2016,Washington Wizards (WAS),67,28,34,173
Steven Adams,2019,Los Angeles Clippers (LAC),48,27,41,198
Steven Adams,2018,Los Angeles Clippers (LAC),78,96,123,282
Steven Adams,2017,Los Angeles Clippers (LAC),11,14,17,60
Steven Adams,2016,Los Angeles Clippers (LAC),67,73,95,288
Steven Adams,2015,Los Angeles Clippers (LAC),71,60,88,310
Steven Adams,2014,Los Angeles Clippers (LAC),56,45,60,323
Steven Adams,2013,Los Angeles Clippers (LAC),56,83,102,255
Steven Adams,2012,Los Angeles Clippers (LAC),41,34,41,96
Steven Adams,2019,Minnesota Timberwolves (MIN),14,21,28,115
Steven Adams,2018,Minnesota Timberwolves (MIN),81,56,66,405
Steven Adams,2017,Minnesota Timberwolves (MIN),62,22,33,82
Steven Adams,2016,Minnesota Timberwolves (MIN),22,8,10,28
Steven Adams,2019,San Antonio Spurs (SAS),52,32,41,155
Steven Adams,2018,San Antonio Spurs (SAS),79,112,124,395
Steven Adams,2017,San Antonio Spurs (SAS),28,47,54,148
Steven Adams,2016,San Antonio Spurs (SAS),74,150,168,283
Steven Adams,2015,San Antonio Spurs (SAS),68,115,138,297
Steven Adams,2014,San Antonio Spurs (SAS),62,84,99,230
Steven Adams,2013,San Antonio Spurs (SAS),80,111,131,293
Steven Adams,2012,San Antonio Spurs (SAS),73,141,168,221
Steven Adams,2011,San Antonio Spurs (SAS),66,101,129,284
Steven Adams,2010,San Antonio Spurs (SAS),80,98,125,324
Steven Adams,2009,San Antonio Spurs (SAS),66,101,121,158
Steven Adams,2008,San Antonio Spurs (SAS),42,40,52,131
Steven Adams,2007,San Antonio Spurs (SAS),33,7,9,41
Steven Adams,2019,Golden State Warriors (GSW),9,8,11,34
Steven Adams,2018,Golden State Warriors (GSW),46,32,54,101
Steven Adams,2017,Golden State Warriors (GSW),82,39,51,322
Steven Adams,2016,Golden State Warriors (GSW),43,4,11,101
Steven Adams,2019,Orlando Magic (ORL),40,41,67,1
Steven Adams,2018,Orlando Magic (ORL),50,58,83,1
Steven Adams,2017,Orlando Magic (ORL),42,42,61,0
Steven Adams,2019,Sacramento Kings (SAC),64,60,73,295
Steven Adams,2018,Sacramento Kings (SAC),77,70,92,257
Steven Adams,2017,Sacramento Kings (SAC),67,36,45,183
Steven Adams,2016,Sacramento Kings (SAC),65,45,61,177
Steven Adams,2015,Sacramento Kings (SAC),60,40,55,125
Steven Adams,2019,Sacramento Kings (SAC),53,76,105,380
Steven Adams,2018,Sacramento Kings (SAC),70,134,162,372
Steven Adams,2017,Sacramento Kings (SAC),78,100,119,329
Steven Adams,2019,Utah Jazz (UTA),63,250,277,457
Steven Adams,2018,Utah Jazz (UTA),81,246,305,386
Steven Adams,2017,Utah Jazz (UTA),80,178,205,386
Steven Adams,2016,Utah Jazz (UTA),26,71,76,115
Steven Adams,2015,Utah Jazz (UTA),79,110,132,338
Steven Adams,2014,Utah Jazz (UTA),78,87,106,256
Steven Adams,2019,Milwaukee Bucks (MIL),56,157,193,201
Steven Adams,2018,Milwaukee Bucks (MIL),78,177,236,377
Steven Adams,2017,Milwaukee Bucks (MIL),71,241,303,347
Steven Adams,2016,Milwaukee Bucks (MIL),66,388,458,310
Steven Adams,2015,Milwaukee Bucks (MIL),31,138,172,129
Steven Adams,2014,Milwaukee Bucks (MIL),81,353,441,272
Steven Adams,2013,Milwaukee Bucks (MIL),43,183,237,140
Steven Adams,2012,Milwaukee Bucks (MIL),76,106,134,78
Steven Adams,2011,Milwaukee Bucks (MIL),40,28,44,30
Steven Adams,2010,Milwaukee Bucks (MIL),81,99,133,116
Steven Adams,2019,Indiana Pacers (IND),49,24,33,36
Steven Adams,2019,Charlotte Hornets (CHA),53,91,151,0
Steven Adams,2018,Charlotte Hornets (CHA),54,58,91,0
Steven Adams,2017,Charlotte Hornets (CHA),82,102,157,1
Steven Adams,2016,Charlotte Hornets (CHA),81,125,234,0
Steven Adams,2015,Charlotte Hornets (CHA),82,142,226,1
Steven Adams,2014,Charlotte Hornets (CHA),64,102,175,0
Steven Adams,2013,Charlotte Hornets (CHA),77,46,89,0
Steven Adams,2012,Charlotte Hornets (CHA),80,74,142,0
Steven Adams,2011,Charlotte Hornets (CHA),63,69,143,0
